Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","108","Burundi","5110","Area","6620","Cropland","2018","2018","1000 ha","1539","I","Imputed value",""
"RL","Land Use","108","Burundi","5110","Area","6620","Cropland","2019","2019","1000 ha","1566","I","Imputed value",""
"RL","Land Use","108","Burundi","5110","Area","6620","Cropland","2020","2020","1000 ha","1593","I","Imputed value",""
"RL","Land Use","108","Burundi","5110","Area","6620","Cropland","2021","2021","1000 ha","1620","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6620","Cropland","2018","2018","1000 ha","118","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6620","Cropland","2019","2019","1000 ha","118","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6620","Cropland","2020","2020","1000 ha","118","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6620","Cropland","2021","2021","1000 ha","118","I","Imputed value",""
"RL","Land Use","262","Djibouti","5110","Area","6620","Cropland","2018","2018","1000 ha","2.8","I","Imputed value",""
"RL","Land Use","262","Djibouti","5110","Area","6620","Cropland","2019","2019","1000 ha","2.9","I","Imputed value",""
"RL","Land Use","262","Djibouti","5110","Area","6620","Cropland","2020","2020","1000 ha","3.9","I","Imputed value",""
"RL","Land Use","262","Djibouti","5110","Area","6620","Cropland","2021","2021","1000 ha","3.9","I","Imputed value",""
"RL","Land Use","232","Eritrea","5110","Area","6620","Cropland","2018","2018","1000 ha","692","I","Imputed value",""
"RL","Land Use","232","Eritrea","5110","Area","6620","Cropland","2019","2019","1000 ha","692","I","Imputed value",""
"RL","Land Use","232","Eritrea","5110","Area","6620","Cropland","2020","2020","1000 ha","692","I","Imputed value",""
"RL","Land Use","232","Eritrea","5110","Area","6620","Cropland","2021","2021","1000 ha","692","I","Imputed value",""
"RL","Land Use","231","Ethiopia","5110","Area","6620","Cropland","2018","2018","1000 ha","17903","A","Official figure",""
"RL","Land Use","231","Ethiopia","5110","Area","6620","Cropland","2019","2019","1000 ha","18190","I","Imputed value",""
"RL","Land Use","231","Ethiopia","5110","Area","6620","Cropland","2020","2020","1000 ha","18476.1","A","Official figure",""
"RL","Land Use","231","Ethiopia","5110","Area","6620","Cropland","2021","2021","1000 ha","18595","I","Imputed value",""
"RL","Land Use","404","Kenya","5110","Area","6620","Cropland","2018","2018","1000 ha","6399","I","Imputed value",""
"RL","Land Use","404","Kenya","5110","Area","6620","Cropland","2019","2019","1000 ha","6410","I","Imputed value",""
"RL","Land Use","404","Kenya","5110","Area","6620","Cropland","2020","2020","1000 ha","6410","I","Imputed value",""
"RL","Land Use","404","Kenya","5110","Area","6620","Cropland","2021","2021","1000 ha","6410","I","Imputed value",""
"RL","Land Use","450","Madagascar","5110","Area","6620","Cropland","2018","2018","1000 ha","3600","I","Imputed value",""
"RL","Land Use","450","Madagascar","5110","Area","6620","Cropland","2019","2019","1000 ha","3600","I","Imputed value",""
"RL","Land Use","450","Madagascar","5110","Area","6620","Cropland","2020","2020","1000 ha","3600","I","Imputed value",""
"RL","Land Use","450","Madagascar","5110","Area","6620","Cropland","2021","2021","1000 ha","3600","I","Imputed value",""
"RL","Land Use","454","Malawi","5110","Area","6620","Cropland","2018","2018","1000 ha","4023","I","Imputed value",""
"RL","Land Use","454","Malawi","5110","Area","6620","Cropland","2019","2019","1000 ha","4078","I","Imputed value",""
"RL","Land Use","454","Malawi","5110","Area","6620","Cropland","2020","2020","1000 ha","4134","I","Imputed value",""
"RL","Land Use","454","Malawi","5110","Area","6620","Cropland","2021","2021","1000 ha","4200","I","Imputed value",""
"RL","Land Use","480","Mauritius","5110","Area","6620","Cropland","2018","2018","1000 ha","79","I","Imputed value",""
"RL","Land Use","480","Mauritius","5110","Area","6620","Cropland","2019","2019","1000 ha","79","I","Imputed value",""
"RL","Land Use","480","Mauritius","5110","Area","6620","Cropland","2020","2020","1000 ha","79","I","Imputed value",""
"RL","Land Use","480","Mauritius","5110","Area","6620","Cropland","2021","2021","1000 ha","79","I","Imputed value",""
"RL","Land Use","175","Mayotte","5110","Area","6620","Cropland","2018","2018","1000 ha","19.98","A","Official figure",""
"RL","Land Use","175","Mayotte","5110","Area","6620","Cropland","2019","2019","1000 ha","19.98","A","Official figure",""
"RL","Land Use","175","Mayotte","5110","Area","6620","Cropland","2020","2020","1000 ha","19.98","A","Official figure",""
"RL","Land Use","175","Mayotte","5110","Area","6620","Cropland","2021","2021","1000 ha","19.98","I","Imputed value",""
"RL","Land Use","508","Mozambique","5110","Area","6620","Cropland","2018","2018","1000 ha","5950","I","Imputed value",""
"RL","Land Use","508","Mozambique","5110","Area","6620","Cropland","2019","2019","1000 ha","5950","I","Imputed value",""
"RL","Land Use","508","Mozambique","5110","Area","6620","Cropland","2020","2020","1000 ha","5950","I","Imputed value",""
"RL","Land Use","508","Mozambique","5110","Area","6620","Cropland","2021","2021","1000 ha","5950","I","Imputed value",""
"RL","Land Use","516","Namibia","5110","Area","6620","Cropland","2018","2018","1000 ha","811","I","Imputed value",""
"RL","Land Use","516","Namibia","5110","Area","6620","Cropland","2019","2019","1000 ha","811","I","Imputed value",""
"RL","Land Use","516","Namibia","5110","Area","6620","Cropland","2020","2020","1000 ha","811","I","Imputed value",""
"RL","Land Use","516","Namibia","5110","Area","6620","Cropland","2021","2021","1000 ha","812","I","Imputed value",""
"RL","Land Use","638","Réunion","5110","Area","6620","Cropland","2018","2018","1000 ha","37.28","A","Official figure",""
"RL","Land Use","638","Réunion","5110","Area","6620","Cropland","2019","2019","1000 ha","37.14","A","Official figure",""
"RL","Land Use","638","Réunion","5110","Area","6620","Cropland","2020","2020","1000 ha","36.82","A","Official figure",""
"RL","Land Use","638","Réunion","5110","Area","6620","Cropland","2021","2021","1000 ha","36.82","I","Imputed value",""
"RL","Land Use","646","Rwanda","5110","Area","6620","Cropland","2018","2018","1000 ha","1545","I","Imputed value",""
"RL","Land Use","646","Rwanda","5110","Area","6620","Cropland","2019","2019","1000 ha","1502","I","Imputed value",""
"RL","Land Use","646","Rwanda","5110","Area","6620","Cropland","2020","2020","1000 ha","1560.6","I","Imputed value",""
"RL","Land Use","646","Rwanda","5110","Area","6620","Cropland","2021","2021","1000 ha","1618.4","I","Imputed value",""
"RL","Land Use","686","Senegal","5110","Area","6620","Cropland","2018","2018","1000 ha","3758","I","Imputed value",""
"RL","Land Use","686","Senegal","5110","Area","6620","Cropland","2019","2019","1000 ha","3795","I","Imputed value",""
"RL","Land Use","686","Senegal","5110","Area","6620","Cropland","2020","2020","1000 ha","3830","I","Imputed value",""
"RL","Land Use","686","Senegal","5110","Area","6620","Cropland","2021","2021","1000 ha","3911","I","Imputed value",""
"RL","Land Use","690","Seychelles","5110","Area","6620","Cropland","2018","2018","1000 ha","1.55","I","Imputed value",""
"RL","Land Use","690","Seychelles","5110","Area","6620","Cropland","2019","2019","1000 ha","1.55","I","Imputed value",""
"RL","Land Use","690","Seychelles","5110","Area","6620","Cropland","2020","2020","1000 ha","1.55","I","Imputed value",""
"RL","Land Use","690","Seychelles","5110","Area","6620","Cropland","2021","2021","1000 ha","1.55","I","Imputed value",""
"RL","Land Use","706","Somalia","5110","Area","6620","Cropland","2018","2018","1000 ha","1126","I","Imputed value",""
"RL","Land Use","706","Somalia","5110","Area","6620","Cropland","2019","2019","1000 ha","1127","I","Imputed value",""
"RL","Land Use","706","Somalia","5110","Area","6620","Cropland","2020","2020","1000 ha","1128","I","Imputed value",""
"RL","Land Use","706","Somalia","5110","Area","6620","Cropland","2021","2021","1000 ha","1129","I","Imputed value",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2018","2018","1000 ha","2477.7","I","Imputed value",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2019","2019","1000 ha","2477.7","A","Official figure",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2020","2020","1000 ha","2477.7","A","Official figure",""
"RL","Land Use","728","South Sudan","5110","Area","6620","Cropland","2021","2021","1000 ha","2479.7","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2018","2018","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2019","2019","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2020","2020","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","729","Sudan","5110","Area","6620","Cropland","2021","2021","1000 ha","21210.84","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2018","2018","1000 ha","2820","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2019","2019","1000 ha","2820","I","Imputed value",""
"RL","Land Use","768","Togo","5110","Area","6620","Cropland","2020","2020","1000 ha","2820","I","Imputed value",""
