plotid,sampleid,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_sampleid,Do you see *active* cropland at this point in 2020? ,Do you see *active* cropland at this point in 2021? 
0,0,36.639760826735255,13.621487416126497,cnakalem@umd.edu,false,2023-10-25 23:18,16.9 secs,Planet Monthly Mosaics,,POINT(36.639760826735255 13.621487416126497),0,Non-crop,Non-crop
1,1,39.560657489500336,13.254369089750586,cnakalem@umd.edu,false,2023-10-12 20:13,127.9 secs,Planet Monthly Mosaics,,POINT(39.560657489500336 13.254369089750586),1,Non-crop,Crop
2,2,38.1311212970839,14.312330615888365,cnakalem@umd.edu,false,2023-10-12 20:22,542.5 secs,Planet Monthly Mosaics,,POINT(38.1311212970839 14.312330615888365),2,Non-crop,Non-crop
3,3,39.56435344971769,13.787714315817503,cnakalem@umd.edu,false,2023-10-12 20:23,32.6 secs,Planet Monthly Mosaics,,POINT(39.56435344971769 13.787714315817503),3,Non-crop,Non-crop
4,4,39.00810805498799,13.282540451469504,cnakalem@umd.edu,false,2023-10-12 20:25,146.0 secs,Planet Monthly Mosaics,,POINT(39.00810805498799 13.282540451469504),4,Non-crop,Non-crop
5,5,39.220186490318014,13.4264225605243,cnakalem@umd.edu,false,2023-10-12 20:26,35.4 secs,Planet Monthly Mosaics,,POINT(39.220186490318014 13.4264225605243),5,Crop,Crop
6,6,37.87197161964661,14.342067704087196,cnakalem@umd.edu,false,2023-10-12 20:45,1124.1 secs,Planet Monthly Mosaics,,POINT(37.87197161964661 14.342067704087196),6,Non-crop,Crop
7,7,37.76448030620494,13.769402843788358,cnakalem@umd.edu,false,2023-10-12 21:01,962.9 secs,Planet Monthly Mosaics,,POINT(37.76448030620494 13.769402843788358),7,Crop,Crop
8,8,37.454025795794124,13.657024790918662,cnakalem@umd.edu,false,2023-10-12 21:01,32.4 secs,Planet Monthly Mosaics,,POINT(37.454025795794124 13.657024790918662),8,Non-crop,Non-crop
9,9,36.762108392071035,14.005104801345864,cnakalem@umd.edu,false,2023-10-12 21:01,14.8 secs,Planet Monthly Mosaics,,POINT(36.762108392071035 14.005104801345864),9,Non-crop,Non-crop
10,10,37.60505398142925,14.075196309245907,cnakalem@umd.edu,false,2023-10-12 21:02,20.2 secs,Planet Monthly Mosaics,,POINT(37.60505398142925 14.075196309245907),10,Non-crop,Non-crop
11,11,37.573417265506265,14.026207865153454,cnakalem@umd.edu,false,2023-10-12 21:03,51.2 secs,Planet Monthly Mosaics,,POINT(37.573417265506265 14.026207865153454),11,Non-crop,Non-crop
12,12,39.48841451586039,13.886129391981997,cnakalem@umd.edu,false,2023-10-13 02:42,245.3 secs,Planet Monthly Mosaics,,POINT(39.48841451586039 13.886129391981997),12,Crop,Non-crop
13,13,37.638788967429356,13.531883929050133,cnakalem@umd.edu,false,2023-10-13 14:02,155.1 secs,Google Satellite Layer,,POINT(37.638788967429356 13.531883929050133),13,Non-crop,Crop
14,14,37.9430457810952,14.60565639759006,cnakalem@umd.edu,false,2023-10-13 14:04,63.1 secs,Planet Monthly Mosaics,,POINT(37.9430457810952 14.60565639759006),14,Non-crop,Non-crop
15,15,37.79308688488039,14.055216710450855,cnakalem@umd.edu,false,2023-10-13 14:05,75.8 secs,Planet Monthly Mosaics,,POINT(37.79308688488039 14.055216710450855),15,Non-crop,Non-crop
16,16,37.603543042193486,13.45914486360643,cnakalem@umd.edu,false,2023-10-13 17:45,13199.7 secs,Planet Monthly Mosaics,,POINT(37.603543042193486 13.45914486360643),16,Non-crop,Non-crop
17,17,37.02091599471101,13.972910488424002,cnakalem@umd.edu,false,2023-10-13 18:04,1144.1 secs,Planet Monthly Mosaics,,POINT(37.02091599471101 13.972910488424002),17,Non-crop,Non-crop
18,18,36.60829309141169,13.982565751584989,cnakalem@umd.edu,false,2023-10-17 19:51,352039.8 secs,Planet Monthly Mosaics,,POINT(36.60829309141169 13.982565751584989),18,Non-crop,Non-crop
19,19,37.467711066652136,13.753475096728248,cnakalem@umd.edu,false,2023-10-17 19:51,13.9 secs,Planet Monthly Mosaics,,POINT(37.467711066652136 13.753475096728248),19,Non-crop,Non-crop
20,20,39.52356710605344,12.994672163541468,cnakalem@umd.edu,false,2023-10-17 19:53,87.2 secs,Planet Monthly Mosaics,,POINT(39.52356710605344 12.994672163541468),20,Non-crop,Non-crop
21,21,37.29347169444379,13.565281828697168,cnakalem@umd.edu,false,2023-10-17 19:57,225.5 secs,Planet Monthly Mosaics,,POINT(37.29347169444379 13.565281828697168),21,Non-crop,Non-crop
22,22,36.8648627836552,13.595011155947951,cnakalem@umd.edu,false,2023-10-17 19:57,17.2 secs,Planet Monthly Mosaics,,POINT(36.8648627836552 13.595011155947951),22,Non-crop,Non-crop
