plotid,sampleid,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_sampleid,Do you see *active* cropland at this point in 2020? ,Do you see *active* cropland at this point in 2021?
0,0,36.639760826735255,13.621487416126497,hkerner@umd.edu,false,2023-10-26 21:41,7.2 secs,Planet Monthly Mosaics,,POINT(36.639760826735255 13.621487416126497),0,Non-crop,Non-crop
1,1,39.560657489500336,13.254369089750586,hkerner@umd.edu,false,2023-10-12 19:42,103.5 secs,Planet Monthly Mosaics,,POINT(39.560657489500336 13.254369089750586),1,Non-crop,Crop
2,2,38.1311212970839,14.312330615888365,hkerner@umd.edu,false,2023-10-27 00:12,122.0 secs,Planet Monthly Mosaics,,POINT(38.1311212970839 14.312330615888365),2,Non-crop,Non-crop
3,3,39.56435344971769,13.787714315817503,hkerner@umd.edu,false,2023-10-12 19:46,118.9 secs,Planet Monthly Mosaics,,POINT(39.56435344971769 13.787714315817503),3,Non-crop,Non-crop
4,4,39.00810805498799,13.282540451469504,hkerner@umd.edu,false,2023-10-12 19:47,72.1 secs,Planet Monthly Mosaics,,POINT(39.00810805498799 13.282540451469504),4,Non-crop,Non-crop
5,5,39.220186490318014,13.4264225605243,hkerner@umd.edu,false,2023-10-12 19:48,67.5 secs,Planet Monthly Mosaics,,POINT(39.220186490318014 13.4264225605243),5,Crop,Crop
6,6,37.87197161964661,14.342067704087196,hkerner@umd.edu,false,2023-10-12 19:50,71.4 secs,Planet Monthly Mosaics,,POINT(37.87197161964661 14.342067704087196),6,Non-crop,Crop
7,7,37.76448030620494,13.769402843788358,hkerner@umd.edu,false,2023-10-12 19:51,107.8 secs,Planet Monthly Mosaics,,POINT(37.76448030620494 13.769402843788358),7,Crop,Crop
8,8,37.454025795794124,13.657024790918662,hkerner@umd.edu,false,2023-10-12 19:53,102.3 secs,Planet Monthly Mosaics,,POINT(37.454025795794124 13.657024790918662),8,Non-crop,Non-crop
9,9,36.762108392071035,14.005104801345864,hkerner@umd.edu,false,2023-10-12 19:55,102.3 secs,Planet Monthly Mosaics,,POINT(36.762108392071035 14.005104801345864),9,Non-crop,Non-crop
10,10,37.60505398142925,14.075196309245907,hkerner@umd.edu,false,2023-10-12 19:56,74.0 secs,Planet Monthly Mosaics,,POINT(37.60505398142925 14.075196309245907),10,Non-crop,Non-crop
11,11,37.573417265506265,14.026207865153454,hkerner@umd.edu,false,2023-10-12 19:57,51.6 secs,Planet Monthly Mosaics,,POINT(37.573417265506265 14.026207865153454),11,Non-crop,Non-crop
12,12,39.48841451586039,13.886129391981997,hkerner@umd.edu,false,2023-10-12 19:58,53.8 secs,Planet Monthly Mosaics,,POINT(39.48841451586039 13.886129391981997),12,Crop,Non-crop
13,13,37.638788967429356,13.531883929050133,hkerner@umd.edu,false,2023-10-12 19:59,58.4 secs,Planet Monthly Mosaics,,POINT(37.638788967429356 13.531883929050133),13,Non-crop,Crop
14,14,37.9430457810952,14.60565639759006,hkerner@umd.edu,false,2023-10-14 16:42,71.3 secs,Planet Monthly Mosaics,,POINT(37.9430457810952 14.60565639759006),14,Non-crop,Non-crop
15,15,37.79308688488039,14.055216710450855,hkerner@umd.edu,false,2023-10-14 16:44,101.8 secs,Planet Monthly Mosaics,,POINT(37.79308688488039 14.055216710450855),15,Non-crop,Non-crop
16,16,37.603543042193486,13.45914486360643,hkerner@umd.edu,false,2023-10-14 16:46,115.0 secs,Planet Monthly Mosaics,,POINT(37.603543042193486 13.45914486360643),16,Non-crop,Non-crop
17,17,37.02091599471101,13.972910488424002,hkerner@umd.edu,false,2023-10-14 16:48,169.1 secs,Planet Monthly Mosaics,,POINT(37.02091599471101 13.972910488424002),17,Non-crop,Non-crop
18,18,36.60829309141169,13.982565751584989,hkerner@umd.edu,false,2023-10-27 00:22,111.7 secs,Planet Monthly Mosaics,,POINT(36.60829309141169 13.982565751584989),18,Non-crop,Non-crop
19,19,37.467711066652136,13.753475096728248,hkerner@umd.edu,false,2023-10-14 16:51,61.8 secs,Planet Monthly Mosaics,,POINT(37.467711066652136 13.753475096728248),19,Non-crop,Non-crop
20,20,39.52356710605344,12.994672163541468,hkerner@umd.edu,false,2023-10-14 16:56,302.8 secs,Sentinel-2,,POINT(39.52356710605344 12.994672163541468),20,Non-crop,Non-crop
21,21,37.29347169444379,13.565281828697168,hkerner@umd.edu,false,2023-10-14 16:58,95.9 secs,Planet Monthly Mosaics,,POINT(37.29347169444379 13.565281828697168),21,Non-crop,Non-crop
22,22,36.8648627836552,13.595011155947951,hkerner@umd.edu,false,2023-10-14 16:59,33.6 secs,Planet Monthly Mosaics,,POINT(36.8648627836552 13.595011155947951),22,Non-crop,Non-crop
23,23,39.4783129878122,12.471467919174298,hkerner@umd.edu,false,2023-10-27 00:25,60.3 secs,Planet Monthly Mosaics,,POINT(39.4783129878122 12.471467919174298),23,Crop,Non-crop
24,24,37.71435464647592,13.604476671089442,hkerner@umd.edu,false,2023-10-14 17:06,57.0 secs,Planet Monthly Mosaics,,POINT(37.71435464647592 13.604476671089442),24,Non-crop,Non-crop
25,25,37.595846551757774,14.463264604493624,hkerner@umd.edu,false,2023-10-14 17:07,72.3 secs,Planet Monthly Mosaics,,POINT(37.595846551757774 14.463264604493624),25,Non-crop,Non-crop
26,26,38.13104102090901,14.143218435088079,hkerner@umd.edu,false,2023-10-14 17:12,296.8 secs,Planet Monthly Mosaics,,POINT(38.13104102090901 14.143218435088079),26,Non-crop,Non-crop
27,27,39.6891053687239,12.567853901651164,hkerner@umd.edu,false,2023-10-14 17:15,200.2 secs,Planet Monthly Mosaics,,POINT(39.6891053687239 12.567853901651164),27,Non-crop,Crop
28,28,39.567043042653935,12.7206253705781,hkerner@umd.edu,false,2023-10-27 00:26,67.3 secs,Planet Monthly Mosaics,,POINT(39.567043042653935 12.7206253705781),28,Non-crop,Non-crop
29,29,39.240441295496694,14.288282026786652,hkerner@umd.edu,false,2023-10-14 17:22,263.6 secs,Google Satellite Layer,,POINT(39.240441295496694 14.288282026786652),29,Non-crop,Non-crop
30,30,37.682691735511845,13.696433224283982,hkerner@umd.edu,false,2023-10-14 17:25,154.5 secs,Planet Monthly Mosaics,,POINT(37.682691735511845 13.696433224283982),30,Non-crop,Non-crop
31,31,37.32021477499788,13.61151764315404,hkerner@umd.edu,false,2023-10-14 17:29,269.0 secs,Planet Monthly Mosaics,,POINT(37.32021477499788 13.61151764315404),31,Crop,Crop
32,32,37.97223929176286,13.572454389910579,hkerner@umd.edu,false,2023-10-14 17:30,51.4 secs,Planet Monthly Mosaics,,POINT(37.97223929176286 13.572454389910579),32,Non-crop,Non-crop
33,33,39.42186239237455,13.11996296086634,hkerner@umd.edu,false,2023-10-14 17:38,481.2 secs,Planet Monthly Mosaics,,POINT(39.42186239237455 13.11996296086634),33,Non-crop,Non-crop
34,34,39.222498197996714,13.38114542464956,hkerner@umd.edu,false,2023-10-14 17:40,106.1 secs,Planet Monthly Mosaics,,POINT(39.222498197996714 13.38114542464956),34,Non-crop,Crop
35,35,39.745878877396386,12.4875183030564,hkerner@umd.edu,false,2023-10-14 17:42,107.8 secs,Planet Monthly Mosaics,,POINT(39.745878877396386 12.4875183030564),35,Non-crop,Non-crop
36,36,38.63443028923338,13.866586996650568,hkerner@umd.edu,false,2023-10-14 17:46,224.2 secs,Sentinel-2,,POINT(38.63443028923338 13.866586996650568),36,Crop,Non-crop
37,37,37.31604660191961,13.713959797867572,hkerner@umd.edu,false,2023-10-14 17:47,97.3 secs,Planet Monthly Mosaics,,POINT(37.31604660191961 13.713959797867572),37,Non-crop,Non-crop
38,38,37.08224922944499,13.318269106025719,hkerner@umd.edu,false,2023-10-14 17:51,224.2 secs,Planet Monthly Mosaics,,POINT(37.08224922944499 13.318269106025719),38,Non-crop,Non-crop
39,39,38.67148842250782,13.952223958488457,hkerner@umd.edu,false,2023-10-14 17:53,126.6 secs,Planet Monthly Mosaics,,POINT(38.67148842250782 13.952223958488457),39,Crop,Crop
40,40,37.52767244469197,14.05817382744992,hkerner@umd.edu,false,2023-10-14 17:56,168.4 secs,Planet Monthly Mosaics,,POINT(37.52767244469197 14.05817382744992),40,Non-crop,Non-crop
41,41,37.14578554976388,13.881265715983659,hkerner@umd.edu,false,2023-10-14 17:58,105.8 secs,Planet Monthly Mosaics,,POINT(37.14578554976388 13.881265715983659),41,Non-crop,Non-crop
42,42,37.602055534369946,13.804673052196412,hkerner@umd.edu,false,2023-10-14 18:00,114.2 secs,Planet Monthly Mosaics,,POINT(37.602055534369946 13.804673052196412),42,Non-crop,Non-crop
43,43,37.84607991398254,14.623089505688085,hkerner@umd.edu,false,2023-10-14 18:02,140.2 secs,Sentinel-2,,POINT(37.84607991398254 14.623089505688085),43,Non-crop,Crop
44,44,38.590679271555786,14.197863328369937,hkerner@umd.edu,false,2023-10-27 00:34,67.3 secs,Planet Monthly Mosaics,,POINT(38.590679271555786 14.197863328369937),44,Non-crop,Non-crop
45,45,39.5623085067663,13.879857517352889,izvonkov@umd.edu,false,2023-10-18 19:28,964.7 secs,Planet Monthly Mosaics,,POINT(39.5623085067663 13.879857517352889),45,Non-crop,Non-crop
46,46,37.85757640395629,14.332077932107616,izvonkov@umd.edu,false,2023-10-18 19:34,371.3 secs,Planet Monthly Mosaics,,POINT(37.85757640395629 14.332077932107616),46,Crop,Non-crop
47,47,39.32225622186005,12.344193753780432,izvonkov@umd.edu,false,2023-10-18 19:39,317.8 secs,Planet Monthly Mosaics,,POINT(39.32225622186005 12.344193753780432),47,Non-crop,Non-crop
48,48,37.81499663681445,14.430101947572737,izvonkov@umd.edu,false,2023-10-18 19:41,87.3 secs,Planet Monthly Mosaics,,POINT(37.81499663681445 14.430101947572737),48,Non-crop,Non-crop
49,49,37.75367151118916,13.739762523965435,izvonkov@umd.edu,false,2023-10-18 19:45,289.3 secs,Planet Monthly Mosaics,,POINT(37.75367151118916 13.739762523965435),49,Non-crop,Non-crop
50,50,37.509689708715335,13.976667203204496,izvonkov@umd.edu,false,2023-10-18 19:47,90.9 secs,Planet Monthly Mosaics,,POINT(37.509689708715335 13.976667203204496),50,Non-crop,Non-crop
51,51,38.42888141687959,14.368424792607653,izvonkov@umd.edu,false,2023-10-18 19:49,115.2 secs,Planet Monthly Mosaics,,POINT(38.42888141687959 14.368424792607653),51,Crop,Crop
52,52,39.469027225563586,13.668752079876029,izvonkov@umd.edu,false,2023-10-18 19:51,148.1 secs,Planet Monthly Mosaics,,POINT(39.469027225563586 13.668752079876029),52,Non-crop,Non-crop
53,53,37.316170960081614,14.023492490115776,izvonkov@umd.edu,false,2023-10-18 19:56,253.6 secs,Planet Monthly Mosaics,,POINT(37.316170960081614 14.023492490115776),53,Non-crop,Non-crop
