latitude,longitude,subset,is_crop,crops_2020,island,acreage
21.13933,-157.23602048,training,0.0,Pasture,Molokai,7013.33984375
21.13610693,-157.1954874,training,0.0,Pasture,Molokai,1527.38000488
21.17249957,-157.18518471,training,0.0,Pasture,Molokai,5199.31005859
21.14786662,-157.16196175,training,0.0,Pasture,Molokai,6.60247993
21.10285381,-157.24288449,training,0.0,Pasture,Molokai,127.88800049
21.11738848,-157.23590527,training,0.0,Pasture,Molokai,32.78789902
21.18855354,-157.10472434,training,0.0,Pasture,Molokai,753.5700073200001
21.17866767,-157.11499767,training,1.0,Diversified Crop,Molokai,6.40875006
21.18114843,-157.11440304,training,1.0,Diversified Crop,Molokai,3.62861991
21.17553,-157.10867514,training,1.0,Diversified Crop,Molokai,3.83639002
21.17527205,-157.1087057,training,0.0,Pasture,Molokai,1.97013998
21.17425566,-157.11018047,training,1.0,Diversified Crop,Molokai,8.56774998
21.17807872,-157.10683774,training,1.0,Diversified Crop,Molokai,6.15623999
21.17035041,-157.11183917,training,1.0,Diversified Crop,Molokai,13.1651001
21.16467797,-157.1165123,training,1.0,Diversified Crop,Molokai,16.712600709999997
21.16529899,-157.11235193,training,1.0,Diversified Crop,Molokai,5.50788021
21.16652544,-157.11006419,training,1.0,Diversified Crop,Molokai,4.89302015
21.16642402,-157.10929522,training,1.0,Diversified Crop,Molokai,0.47982499
21.16943499,-157.10545885,training,0.0,Pasture,Molokai,19.10750008
21.16805535,-157.10892926,training,0.0,Pasture,Molokai,3.29549003
21.16937676,-157.10452213,training,0.0,Pasture,Molokai,3.18758988
21.17472861,-157.09783209,training,0.0,Pasture,Molokai,2.20688009
21.16732645,-157.10250053,training,0.0,Pasture,Molokai,8.531620030000001
21.1648575,-157.10472633,training,0.0,Pasture,Molokai,11.480699540000002
21.16864052,-157.09814048,training,1.0,Diversified Crop,Molokai,46.44010162
21.16109013,-157.09976026,training,1.0,Diversified Crop,Molokai,32.35770035
21.17434525,-157.08793897,training,1.0,Diversified Crop,Molokai,18.35180092
21.17236488,-157.08613926,training,0.0,Pasture,Molokai,3.13788009
21.16977904,-157.09201948,training,0.0,Pasture,Molokai,25.54990005
21.16622637,-157.09288454,training,1.0,Diversified Crop,Molokai,7.18402004
21.18066707,-157.08313666,training,0.0,Pasture,Molokai,2.64480996
21.168681,-157.08746751,training,1.0,Diversified Crop,Molokai,16.932600020000002
21.16494137,-157.08790083,training,0.0,Pasture,Molokai,15.19760036
21.16253163,-157.0902295,training,0.0,Pasture,Molokai,5.56219006
21.17063461,-157.0780216,training,0.0,Pasture,Molokai,3.82036996
21.16796779,-157.07481168,training,1.0,Diversified Crop,Molokai,5.32252979
21.15675211,-157.08252204,training,0.0,Pasture,Molokai,42.08100128
21.15118562,-157.07784969,training,0.0,Pasture,Molokai,2.84089994
21.15279135,-157.07888683,training,1.0,Diversified Crop,Molokai,0.67161298
21.1824675,-157.0756182,training,1.0,Diversified Crop,Molokai,4.836379999999999
21.18222651,-157.07470433,training,0.0,Pasture,Molokai,46.48109818
21.18192243,-157.06010945,training,0.0,Pasture,Molokai,178.10800171
21.17007554,-157.06863438,training,1.0,Diversified Crop,Molokai,3.60043001
21.16854988,-157.06970479,training,0.0,Pasture,Molokai,4.6128602
21.16569598,-157.07162937,training,0.0,Pasture,Molokai,13.09840012
21.15572637,-157.0690233,training,1.0,Diversified Crop,Molokai,11.69349957
21.15599168,-157.06733747,training,1.0,Papaya,Molokai,14.18589973
21.15663843,-157.06299913,training,0.0,Pasture,Molokai,129.54800415
21.17313387,-157.05997234,training,0.0,Pasture,Molokai,13.4598999
21.1664484,-157.05638504,training,0.0,Pasture,Molokai,2.56165004
21.16707442,-157.05938074,training,0.0,Pasture,Molokai,8.583680150000001
21.17022198,-157.05592802,training,0.0,Pasture,Molokai,58.67819977
21.16767592,-157.04668807,training,1.0,Macadamia Nuts,Molokai,7.23459005
21.16027528,-157.04993704,training,0.0,Pasture,Molokai,14.044699670000002
21.14403703,-157.13183067,training,0.0,Flowers / Foliage / Landscape,Molokai,16.1427002
21.14303222,-157.12262346,training,1.0,Diversified Crop,Molokai,158.85299683
21.14839365,-157.11631944,training,1.0,Diversified Crop,Molokai,4.17542982
21.14710037,-157.10730276,training,1.0,Diversified Crop,Molokai,5.982709880000001
21.1419767,-157.10676359,training,0.0,Seed Production,Molokai,147.78900145999998
21.14319372,-157.09982875,training,1.0,Diversified Crop,Molokai,128.28999328999998
21.14622652,-157.09786141,training,1.0,Papaya,Molokai,10.96580029
21.14590328,-157.09935211,training,1.0,Papaya,Molokai,14.57530022
21.14254336,-157.09353973,training,0.0,Seed Production,Molokai,78.65750122
21.1386454,-157.09855063,training,0.0,Seed Production,Molokai,30.48480034
21.13820012,-157.09513283,training,1.0,Diversified Crop,Molokai,33.67399979
21.13788818,-157.09277512,training,1.0,Papaya,Molokai,15.83419991
21.13165856,-157.09704413,training,0.0,Seed Production,Molokai,80.46019745
21.13553641,-157.09157046,training,1.0,Papaya,Molokai,53.49060059
21.12981987,-157.0787265,training,1.0,Diversified Crop,Molokai,120.58499908
21.12804057,-157.08432526,training,0.0,Seed Production,Molokai,104.45200348
21.11765157,-157.07866641,training,0.0,Pasture,Molokai,1162.94995117
21.11277653,-157.05841342,training,0.0,Pasture,Molokai,296.08599854
21.13546369,-157.0670186,training,0.0,Seed Production,Molokai,1043.72998047
21.13845875,-157.08580938,training,1.0,Diversified Crop,Molokai,190.80599976
21.13075505,-157.08930654,training,1.0,Diversified Crop,Molokai,62.957901
21.11034211,-157.08228228,training,0.0,Aquaculture,Molokai,8.85657978
21.14961979,-157.05514455,training,0.0,Seed Production,Molokai,699.32800293
21.1397262,-157.05030906,training,0.0,Seed Production,Molokai,131.47999572999998
21.16879432,-157.02478223,training,0.0,Pasture,Molokai,2302.92993164
21.15167999,-157.04153814,training,1.0,Coffee,Molokai,100.35399628
21.14714914,-157.04010947,training,1.0,Diversified Crop,Molokai,32.21490097
21.11891762,-157.00846087,training,0.0,Pasture,Molokai,12221.5
21.14294159,-157.03693534,training,1.0,Tropical Fruits,Molokai,188.15600586
21.1071876,-157.05584482,training,0.0,Seed Production,Molokai,35.50320053
21.10226918,-157.04790679,training,0.0,Pasture,Molokai,2.61093998
21.08179908,-157.00704113,training,0.0,Pasture,Molokai,18.58189964
21.05471812,-156.87000864,training,0.0,Pasture,Molokai,18.72480011
21.05187752,-156.87114135,training,0.0,Pasture,Molokai,47.14049911
21.05702326,-156.84593152,training,0.0,Pasture,Molokai,2.83068991
21.05625186,-156.84439307,training,0.0,Aquaculture,Molokai,16.87260056
21.07407558,-156.82583842,training,0.0,Pasture,Molokai,612.52001953
21.06317182,-156.82516661,training,0.0,Pasture,Molokai,5.89991999
21.06860233,-156.80464591,training,1.0,Tropical Fruits,Molokai,28.23859978
21.11792208,-156.75601654,training,0.0,Pasture,Molokai,4470.95019531
21.13802271,-156.73980496,training,1.0,Diversified Crop,Molokai,9.96465015
21.1409167,-156.73698548,training,1.0,Diversified Crop,Molokai,10.2244997
21.10471096,-156.75012885,training,1.0,Diversified Crop,Molokai,3.21369004
21.09559051,-156.76036371,training,0.0,Pasture,Molokai,13.0916996
21.14416997,-156.72453197,training,0.0,Pasture,Molokai,1410.31994629
21.14694062,-157.04552219,training,1.0,Coffee,Molokai,22.133699420000003
21.15483852,-156.747216,training,1.0,Taro,Molokai,0.53802401
21.15530815,-156.74448709,training,1.0,Taro,Molokai,0.90408802
21.15768428,-156.74335838,training,1.0,Taro,Molokai,0.764238
21.13283878,-157.09353539,training,1.0,Diversified Crop,Molokai,10.75949955
21.13537814,-157.0964302,training,1.0,Diversified Crop,Molokai,28.18449974
21.10965917,-157.05181834,training,0.0,Flowers / Foliage / Landscape,Molokai,9.57386017
20.82093727,-156.92457835,training,0.0,Flowers / Foliage / Landscape,Lanai,10.14970016
20.79703384,-156.94835007,training,1.0,Diversified Crop,Lanai,94.87139893
20.93126205,-156.66104935,training,1.0,Coffee,Maui,79.20079803
20.93705193,-156.66027871,training,1.0,Coffee,Maui,59.90340042
20.93981655,-156.67146948,training,1.0,Coffee,Maui,102.11399841
20.92783281,-156.67833565,training,1.0,Diversified Crop,Maui,36.17649841
20.9372657,-156.68213423,training,1.0,Diversified Crop,Maui,4.86367989
20.93819115,-156.68031653,training,1.0,Banana,Maui,5.94373989
20.93666961,-156.66956824,training,1.0,Coffee,Maui,61.50870132
20.92820416,-156.66323497,training,1.0,Coffee,Maui,124.7539978
20.92458175,-156.66427609,training,1.0,Coffee,Maui,32.92480087
20.93280454,-156.66883254,training,1.0,Coffee,Maui,36.81000137
20.93356538,-156.67144392,training,1.0,Coffee,Maui,14.47799969
20.93342725,-156.67372101,training,1.0,Coffee,Maui,40.12850189
20.9368419,-156.67311889,training,1.0,Coffee,Maui,7.66496992
20.93802045,-156.68813996,training,1.0,Tropical Fruits,Maui,2.52312994
20.93705885,-156.68835399,training,1.0,Banana,Maui,3.89793992
20.93603444,-156.68613387,training,1.0,Banana,Maui,2.12127995
20.97489315,-156.65941797,training,1.0,Diversified Crop,Maui,2.87339997
20.97682981,-156.65408065,training,1.0,Tropical Fruits,Maui,15.15139961
20.97694816,-156.65859299,training,1.0,Diversified Crop,Maui,5.0369401
20.97861223,-156.65676724,training,1.0,Diversified Crop,Maui,11.42099953
21.00748354,-156.58914108,training,0.0,Pasture,Maui,630.7680053700001
21.01403815,-156.60660427,training,1.0,Taro,Maui,0.0278971
21.01298227,-156.60661163,training,1.0,Taro,Maui,0.178827
21.01684211,-156.60766655,training,1.0,Taro,Maui,0.0513998
21.00859619,-156.60631978,training,1.0,Taro,Maui,0.252305
21.00853526,-156.60614765,training,1.0,Taro,Maui,0.64006901
21.00954056,-156.6119479,training,1.0,Diversified Crop,Maui,6.41187
20.99570822,-156.55088139,training,0.0,Pasture,Maui,18.0135994
20.99552115,-156.54757618,training,1.0,Taro,Maui,0.65792501
20.99596945,-156.54751553,training,1.0,Taro,Maui,0.32950699
20.99308711,-156.54909788,training,1.0,Taro,Maui,0.115458
20.99399348,-156.54849777,training,1.0,Taro,Maui,0.501109
20.98833049,-156.55020621,training,1.0,Taro,Maui,0.48384199
20.98881215,-156.5499288,training,1.0,Taro,Maui,0.0902561
20.98908868,-156.55001063,training,1.0,Taro,Maui,0.23048501
20.98597633,-156.55178844,training,1.0,Taro,Maui,0.71898103
20.99157373,-156.5457421,training,0.0,Pasture,Maui,41.75270081
20.995483,-156.54412167,training,0.0,Pasture,Maui,2.21789002
20.9880119,-156.54196364,training,0.0,Pasture,Maui,108.91799927
20.97447696,-156.5464318,training,0.0,Pasture,Maui,81.85800171000001
20.97348932,-156.53203585,training,0.0,Pasture,Maui,525.9730224599999
20.96589773,-156.53840208,training,0.0,Pasture,Maui,321.24301147
20.96033811,-156.52453178,training,0.0,Pasture,Maui,67.83719635000001
20.95886235,-156.52959852,training,0.0,Pasture,Maui,2.1766901
20.95626456,-156.520436,training,0.0,Pasture,Maui,17.13269997
20.95353542,-156.52933008,training,0.0,Pasture,Maui,210.28199768
20.94228062,-156.52128509,training,1.0,Taro,Maui,1.21696997
20.94167555,-156.52192831,training,1.0,Taro,Maui,1.52796996
20.94313686,-156.52440596,training,1.0,Taro,Maui,0.30940801
20.94413809,-156.51712804,training,1.0,Taro,Maui,0.76230699
20.94217012,-156.51938859,training,1.0,Taro,Maui,0.28461999
20.94240875,-156.51730851,training,1.0,Taro,Maui,0.158205
20.94048024,-156.51576695,training,1.0,Taro,Maui,1.92156005
20.94049966,-156.52065644,training,1.0,Macadamia Nuts,Maui,6.118889810000001
20.93915251,-156.51601782,training,1.0,Macadamia Nuts,Maui,1.63217998
20.93870977,-156.51536106,training,1.0,Taro,Maui,0.90964103
20.93618543,-156.51815479,training,1.0,Macadamia Nuts,Maui,21.01320076
20.93160158,-156.51970113,training,1.0,Macadamia Nuts,Maui,23.1609993
20.92748102,-156.51646143,training,1.0,Macadamia Nuts,Maui,61.5163002
20.92817411,-156.51366364,training,1.0,Diversified Crop,Maui,3.77205992
20.92326997,-156.51158281,training,1.0,Macadamia Nuts,Maui,231.78300476
20.9148945,-156.51638743,training,1.0,Taro,Maui,1.81561005
20.9162075,-156.51139124,training,1.0,Macadamia Nuts,Maui,32.88169861
20.90891306,-156.50614643,training,1.0,Macadamia Nuts,Maui,412.64199829
20.9116169,-156.51074406,training,1.0,Taro,Maui,68.85050201
