latitude,longitude,subset,is_crop
22.06373458,-159.63937172,validation,0.0
20.86319824,-157.02730288,training,0.0
20.14203753,-155.7731369,training,0.0
21.90568351,-159.40899466,validation,0.0
19.91891505,-155.65691895,testing,0.0
19.05039346,-155.74667912,testing,0.0
19.36861705,-155.13712769,testing,0.0
19.42626975,-155.16502909,training,0.0
19.46267841,-155.30432623,training,0.0
19.80890517,-155.1582724,training,0.0
21.98896236,-159.68901223,testing,0.0
19.27053054,-155.50830845,training,0.0
21.53185291,-158.11962048,training,0.0
22.21743684,-159.44625171,testing,0.0
20.05037104,-155.81721476,testing,0.0
19.77318272,-155.49650434,testing,0.0
20.85298109,-156.41828061,validation,0.0
19.83616383,-155.33073937,validation,0.0
19.41565061,-155.65881189,validation,0.0
20.7628817,-156.1754421,testing,0.0
19.4693391,-155.37683085,training,0.0
19.4914254,-155.38261568,testing,0.0
19.35264715,-155.04613534,testing,0.0
19.1382316,-155.83780946,validation,1.0
21.47536017,-157.91045415,validation,0.0
20.87073775,-156.84394352,training,0.0
19.616539,-155.07764772,testing,1.0
19.60752706,-155.7500632,validation,0.0
20.12158088,-155.51926541,validation,0.0
19.33316931,-155.29497617,testing,0.0
19.22505317,-155.54373755,training,0.0
19.44589245,-154.87244064,testing,0.0
21.95765358,-160.11050462,testing,0.0
19.43132456,-155.38165789,training,0.0
20.13497096,-155.88762008,training,0.0
19.4749033,-155.01515579,training,0.0
20.86716142,-156.25097166,validation,0.0
20.60989541,-156.29804915,testing,0.0
20.06871437,-155.58195304,training,0.0
22.12374523,-159.6878951,validation,0.0
19.65043581,-155.05328018,testing,0.0
19.47830087,-155.4606032,validation,0.0
20.77539838,-156.2864578,testing,0.0
19.49082542,-155.11878348,training,0.0
22.07525732,-159.61655175,testing,0.0
19.2804779,-155.81506986,training,0.0
19.94239378,-155.29609999,validation,0.0
19.2648027,-155.47132005,validation,0.0
22.00106149,-159.55661193,validation,0.0
19.575818,-155.60332814,testing,0.0
19.69333326,-155.12639737,training,0.0
20.89658307,-157.01859288,training,0.0
19.80548436,-155.38838327,training,0.0
21.59390386,-158.01480093,training,0.0
19.59035479,-155.20823528,validation,0.0
19.52141033,-155.46912372,training,0.0
19.30998717,-155.1829496,testing,0.0
19.94028966,-155.69341706,testing,0.0
20.07553296,-155.64230537,testing,0.0
19.09196731,-155.75464781,validation,0.0
19.15112306,-155.61146544,validation,0.0
19.84877712,-155.52611192,testing,0.0
19.40292218,-155.51794467,training,0.0
21.53978731,-158.06227236,validation,1.0
22.12669613,-159.41914837,testing,0.0
19.43036078,-155.41699134,validation,0.0
19.32617518,-155.21385978,testing,0.0
19.61329995,-154.96074993,training,0.0
20.93580209,-156.5107489,testing,0.0
21.13480776,-156.90135284,training,0.0
19.70304516,-155.59792768,training,0.0
19.18884264,-155.75254065,testing,0.0
19.38628778,-155.30926572,testing,0.0
19.29387571,-155.53129006,training,0.0
19.3043625,-155.6801452,training,0.0
21.59966534,-157.95833825,training,0.0
19.79430063,-155.50380178,training,0.0
21.12968121,-157.10340267,testing,0.0
20.17042396,-155.86355409,validation,0.0
19.30813474,-155.46670582,testing,0.0
21.36681176,-158.03647805,training,1.0
19.173044,-155.52493086,training,0.0
19.94031546,-155.7114041,validation,0.0
19.69266927,-155.35720157,testing,0.0
19.45494077,-155.64010893,validation,0.0
21.32900583,-157.81325434,validation,0.0
19.62473039,-155.43238586,training,0.0
19.68265317,-155.56169367,training,0.0
19.29276319,-155.35835885,training,0.0
19.84642069,-155.21317805,validation,0.0
21.51273227,-157.86608273,testing,0.0
20.84916232,-156.35826614,training,1.0
22.10956718,-159.53087078,training,0.0
19.78486436,-155.88788977,validation,0.0
21.4453941,-157.7393478,training,0.0
21.5481932,-158.09690266,validation,0.0
20.01889597,-155.74991237,validation,0.0
19.12080815,-155.9019751,validation,0.0
19.19805733,-155.73270199,testing,0.0
21.41170162,-158.13774874,testing,0.0
19.52150735,-155.17850678,testing,0.0
22.03753836,-159.47096924,training,0.0
19.40944548,-154.9832969,validation,0.0
19.75407691,-155.26004076,validation,0.0
19.33039683,-155.38267392,training,0.0
19.48637249,-155.41033363,testing,0.0
19.75770533,-155.08853852,validation,0.0
20.97269572,-156.57559664,training,0.0
21.58678731,-157.98654811,testing,0.0
20.00502351,-155.42096205,testing,0.0
19.88157635,-155.72247775,testing,0.0
19.23302434,-155.53030422,training,0.0
20.05186256,-155.81160726,training,0.0
22.07140618,-159.6103543,training,0.0
21.48436483,-157.91980867,training,0.0
21.54656187,-158.16162309,testing,0.0
22.02991209,-159.56515411,training,0.0
19.63937899,-155.7067514,validation,0.0
19.60837914,-155.93885419,training,1.0
19.34178518,-155.33978952,training,0.0
19.94452483,-155.78515657,validation,0.0
19.23071358,-155.37263069,testing,0.0
22.21195943,-159.55961076,testing,0.0
19.915591,-155.48591991,training,0.0
19.31409767,-155.82593531,training,0.0
19.80159985,-155.37296626,testing,0.0
20.8845401,-156.60224676,validation,0.0
19.10355132,-155.82962213,validation,0.0
19.64729042,-155.98694393,testing,0.0
19.82757029,-155.10991597,testing,0.0
21.96507545,-159.50381216,validation,0.0
19.10357726,-155.86178985,training,0.0
21.99542969,-159.63444424,validation,0.0
21.97325799,-159.52514253,training,0.0
