latitude,longitude,subset,is_crop
20.79469627,-156.41613949,training,1
20.83314416,-156.50129978,training,1
20.9027636,-156.39925116,training,1
20.8697056,-156.35253877,training,1
20.86081228,-156.32487066,training,1
20.85865632,-156.32235538,training,1
20.82344236,-156.36556434,training,1
20.82038809,-156.35703035,training,1
20.8198491,-156.3660135,training,1
20.81939994,-156.35927613,training,1
20.8181423,-156.35352692,training,1
20.81401005,-156.34669972,training,0
20.81167443,-156.3443641,training,0
20.80574555,-156.34517258,training,1
20.80089465,-156.33663859,training,1
20.80080481,-156.33448263,training,1
20.79586408,-156.35307776,training,1
20.9657355,-156.66021175,training,1
20.95854898,-156.66326603,training,1
20.95854898,-156.6629067,training,1
20.95756083,-156.65104894,training,1
20.95306925,-156.64143696,training,1
20.94875734,-156.64080814,training,1
20.94830818,-156.64017932,training,1
20.94390644,-156.64458107,training,1
20.93483345,-156.66892541,training,1
20.93061137,-156.6663203,training,1
20.92396384,-156.66569148,training,1
20.60578057,-156.43536344,training,0
20.60083983,-156.42188871,training,0
20.5956296,-156.41479202,training,0
20.59374314,-156.40688684,training,0
20.59176685,-156.39574773,training,0
20.70791901,-156.26019196,training,0
20.70764952,-156.27079208,training,0
20.70585289,-156.26585134,training,0
20.70567323,-156.28031422,training,0
20.60676871,-156.32774527,training,0
20.60596023,-156.33026055,training,0
20.60119916,-156.32981139,training,0
20.59913303,-156.32990122,training,0
20.76082978,-155.99707541,training,0
20.7566077,-155.9993212,training,0
20.75526023,-155.98072607,training,1
20.75256528,-155.98288203,training,1
20.75130764,-156.00201615,training,0
20.74474994,-155.98917024,training,0
20.74061769,-155.99123636,training,0
20.73792274,-155.99015838,training,0
20.72795144,-155.99213468,training,0
20.72112425,-155.98818209,training,0
20.71384789,-155.99878221,training,0
20.71205126,-155.99132619,training,0
20.71034447,-155.99285333,training,0
20.89917034,-156.22174406,training,0
20.72363953,-156.3574795,training,0
20.72337004,-156.34696921,training,0
20.72319037,-156.35164045,training,0
20.71780048,-156.37239154,training,0
20.7121411,-156.34867601,training,0
20.70791901,-156.38281199,training,0
20.86790897,-156.33358432,training,1
20.86781913,-156.32217571,training,1
20.86745981,-156.33654876,training,1
20.866292,-156.32334352,training,1
20.86566318,-156.31939094,training,1
20.86449537,-156.33708775,training,1
20.8643157,-156.32370285,training,1
20.86404621,-156.32037908,training,1
20.86260891,-156.3227147,training,1
20.86251907,-156.33331482,training,1
20.86233941,-156.32522998,training,1
20.8614411,-156.31975026,training,1
20.86108177,-156.34229797,training,1
20.86036312,-156.33421314,training,1
20.86018345,-156.3212774,training,1
20.85928514,-156.32451133,training,1
20.85838682,-156.35595237,training,1
20.85838682,-156.32936223,training,1
20.8580275,-156.33511145,training,1
20.85685969,-156.33286566,training,1
20.85362575,-156.3477777,training,1
20.85227828,-156.35307776,training,1
20.85209862,-156.34122,training,1
20.849763,-156.33969286,training,1
20.74807371,-156.18724876,training,0
20.73729392,-156.18203853,training,0
20.73307184,-156.18760808,training,0
20.71833947,-156.19587258,training,0
20.70351727,-156.19416578,training,0
21.16309537,-157.09589467,training,1
21.16282587,-157.11098636,training,1
21.16237672,-157.12257463,training,1
21.16102924,-157.10892024,training,1
21.16102924,-157.1056863,training,1
21.16084958,-157.12203564,training,1
21.15824447,-157.10703378,training,1
20.69417479,-156.44012451,training,0
20.69183917,-156.43419563,training,0
20.68626962,-156.432399,training,0
20.68429332,-156.39781386,training,0
20.68087972,-156.43680074,training,0
20.67935259,-156.43150068,training,0
20.67351354,-156.44353811,training,0
20.66911179,-156.43805838,training,0
20.6656982,-156.38892054,training,0
20.66237443,-156.43904653,training,0
20.65985915,-156.43024304,training,0
20.658871,-156.43482445,training,0
20.65824218,-156.4275481,training,0
20.65743369,-156.43392613,training,0
20.65671504,-156.44111266,training,0
20.65410993,-156.42979388,training,0
20.65384043,-156.43536344,training,0
20.65357094,-156.43177018,training,0
20.65357094,-156.38865104,training,0
20.65132515,-156.43814822,training,0
20.65114549,-156.44084316,training,0
20.64836071,-156.43141085,training,0
20.64665391,-156.39431043,training,0
20.64476745,-156.44138215,training,0
20.64144368,-156.44506524,training,0
20.64135385,-156.43823805,training,0
20.64027587,-156.40455122,training,0
20.63740126,-156.39323245,training,0
20.63668261,-156.4506348,training,0
20.63228087,-156.39206464,training,0
20.63192154,-156.4472212,training,0
20.63165205,-156.44353811,training,0
20.62536384,-156.44084316,training,0
20.62509434,-156.43769906,training,0
20.61593153,-156.40473089,training,0
20.61449422,-156.40706651,training,0
20.70163081,-156.28013456,training,0
20.69489344,-156.27815826,training,0
20.67791528,-156.20359809,training,0
20.66255409,-156.20467607,training,0
20.64557593,-156.23908155,training,0
20.63497581,-156.25875465,training,0
20.6323707,-156.28884822,training,0
20.66506937,-156.14242282,training,0
20.65563706,-156.19272848,training,0
20.9406725,-156.29684322,training,1
20.93977419,-156.30187379,training,1
20.93725891,-156.30744334,training,1
20.93671992,-156.30223311,training,1
20.93150969,-156.30259244,training,1
20.93043171,-156.29657373,training,1
20.93016222,-156.30636536,training,1
20.92863508,-156.30456873,training,1
20.92845542,-156.30070598,training,1
20.92746727,-156.29531609,training,1
20.92710794,-156.30160429,training,1
20.92531131,-156.29720255,training,1
20.70154098,-156.38245267,training,0
20.69929519,-156.29531609,training,0
20.69130018,-156.29702288,training,0
20.68860524,-156.3044789,training,0
20.68824591,-156.38487812,training,0
20.68078989,-156.30995862,training,0
20.66282359,-156.37903907,training,0
20.65069633,-156.37643396,training,0
20.63776059,-156.38191368,training,0
20.62689098,-156.3856866,training,0
20.83673743,-156.35271843,training,0
20.83449164,-156.35334725,training,0
20.83341366,-156.35271843,training,0
