is_crop,latitude,longitude,subset
0.0,13.25409265,39.96449998,testing
0.0,14.21964798,37.05350001,validation
0.0,14.49477797,38.75749999,testing
0.0,12.35405455,39.82249998,testing
0.0,13.66838841,37.8345,testing
0.6666666666666666,13.59938907,39.53849999,validation
0.2,12.49272952,38.1185,validation
0.0,14.15081288,37.62150001,validation
0.0,13.73736754,37.69250001,validation
1.0,12.42340128,39.11249999,testing
0.8333333333333334,13.11583598,36.69850002,testing
0.75,14.35725524,36.62750002,testing
0.0,13.18497408,39.96449998,testing
0.0,14.83821005,37.40850001,testing
1.0,12.83909007,38.97049999,testing
0.0,13.32319158,38.89949999,testing
0.0,13.53036962,36.55650002,validation
0.0,13.32319158,37.8345,validation
0.0,13.25409265,39.60949999,testing
1.0,12.90830538,39.46749999,validation
1.0,12.35405455,37.05350001,testing
0.0,14.83821005,36.55650002,validation
0.0,14.42602722,39.68049999,testing
0.0,14.08195692,37.47950001,testing
0.75,14.21964798,39.18349999,validation
0.0,13.11583598,38.97049999,testing
0.0,12.70060236,38.82849999,testing
0.75,14.63221541,38.89949999,testing
1.0,12.49272952,37.33750001,testing
1.0,14.0130802,39.53849999,testing
0.0,13.39227078,39.96449998,validation
0.0,13.80632639,37.40850001,validation
0.0,12.63133016,38.4025,validation
0.0,13.53036962,39.39649999,validation
0.0,14.49477797,37.69250001,validation
0.0,14.35725524,37.26650001,validation
0.8,12.63133016,38.6155,validation
0.0,13.53036962,37.40850001,testing
0.0,13.66838841,36.98250001,testing
0.0,14.70090192,39.68049999,testing
0.0,14.76956683,36.62750002,testing
0.0,13.18497408,39.18349999,testing
0.0,13.59938907,39.96449998,testing
1.0,12.97750153,36.55650002,validation
0.1666666666666666,14.42602722,38.6865,testing
0.0,14.76956683,38.1185,testing
0.0,14.83821005,39.18349999,validation
0.0,13.32319158,38.75749999,validation
0.0,14.76956683,39.89349998,testing
0.0,14.42602722,37.26650001,validation
0.0,14.35725524,38.2605,validation
0.25,14.49477797,37.12450001,validation
0.0,13.04667843,38.4735,validation
0.0,12.35405455,38.82849999,testing
1.0,13.46133016,37.69250001,testing
0.0,14.76956683,36.69850002,validation
0.0,14.42602722,36.98250001,validation
1.0,12.70060236,39.60949999,testing
1.0,12.90830538,37.19550001,validation
