is_crop,latitude,longitude,subset
1.0,7.63390904,1.30721075,training
1.0,7.58172011,1.39543939,training
1.0,7.58156885,1.4028646,training
1.0,7.59003505,1.41086258,training
1.0,7.5845981,1.41240946,training
1.0,7.58466946,1.41158347,validation
1.0,7.68828935,1.41003274,training
1.0,7.69968713,1.41993612,training
1.0,7.69922201,1.41954292,training
1.0,7.69838018,1.42297899,validation
1.0,7.69412061,1.41728792,training
1.0,7.78862718,1.40741091,training
1.0,7.78858536,1.4062921,validation
1.0,7.78631316,1.41440647,training
1.0,7.84549445,1.39703665,training
1.0,7.84427046,1.39530938,validation
1.0,7.84750923,1.39945974,training
1.0,7.8772929,1.40028442,training
1.0,7.87481541,1.39661349,training
1.0,7.87373269,1.41078726,training
1.0,8.2088791,0.79978086,validation
1.0,8.2134495,0.80015307,validation
1.0,8.21693368,0.78628231,validation
1.0,8.22413361,0.80619669,validation
1.0,8.22639097,0.80664433,training
1.0,8.21993395,0.82132152,training
1.0,8.29212837,1.16579896,training
1.0,8.29446572,1.17275946,training
1.0,8.29716071,1.15211791,validation
1.0,8.3103565,1.14606066,training
1.0,8.31534843,1.25935928,training
1.0,8.31562201,1.25619284,training
1.0,8.35650299,1.12637383,training
1.0,9.3895954,1.05093859,training
1.0,9.39025807,1.05296125,training
1.0,9.39095814,1.05426513,training
1.0,9.39971965,1.0554691,training
1.0,9.40012756,1.05569957,training
1.0,9.41069068,1.01428293,training
1.0,9.50587916,1.04619138,training
1.0,9.50486182,1.05045923,training
1.0,9.51710712,1.0559122,training
1.0,9.51501789,1.05669219,training
1.0,10.62467257,0.43028621,training
1.0,10.62393643,0.43033372,training
1.0,10.62091911,0.4242186,training
1.0,10.61872201,0.48070821,validation
1.0,10.61964157,0.48640526,training
1.0,10.61895109,0.48591423,training
1.0,10.38653607,0.41373278,training
1.0,10.38578322,0.42118459,validation
1.0,10.38302467,0.41478455,training
1.0,10.38377056,0.41485951,training
1.0,11.03777193,0.23762171,training
1.0,11.03761626,0.24020111,training
1.0,11.04275671,0.24578844,training
1.0,11.04315558,0.24395083,training
1.0,11.11552823,-0.04547649,training
1.0,11.11268614,-0.03761027,validation
1.0,11.12311139,-0.07222929,training
1.0,11.13181996,-0.07363407,validation
1.0,11.13658379,-0.15400141,training
1.0,11.13619805,-0.15490834,training
1.0,11.1593399,-0.15568345,validation
1.0,11.16392591,-0.16385638,validation
1.0,11.06877007,-0.10701434,validation
1.0,11.06759253,-0.10384297,training
1.0,11.06588005,-0.10089102,training
1.0,7.09891351,1.51350407,training
1.0,7.10442489,1.51787237,validation
1.0,6.8256519,0.65557671,validation
1.0,6.80964744,0.63755624,validation
1.0,6.74778437,0.59588307,validation
1.0,6.67647301,1.52021127,training
1.0,6.67573414,1.51916984,training
1.0,6.67785831,1.51007738,training
1.0,6.67918327,1.51065749,validation
1.0,6.67861566,1.51167609,training
1.0,6.66625789,1.53281517,training
1.0,6.66196336,1.52347422,training
1.0,6.66236502,1.52552868,training
1.0,6.2718342,1.05594241,validation
1.0,6.27772203,1.0580438,training
1.0,6.85280137,1.38333777,training
1.0,6.85441832,1.38325299,training
1.0,6.84693616,1.39769787,training
1.0,6.96342696,1.4731371,training
1.0,6.96190555,1.47866499,training
1.0,6.97198653,1.52927356,training
1.0,6.97079672,1.5339504,training
1.0,6.98426555,1.50471008,training
1.0,7.70429684,1.40112302,training
1.0,7.70262114,1.40249726,training
1.0,7.70449366,1.39975075,validation
1.0,7.70176377,1.39481924,training
1.0,7.70219306,1.39550482,training
1.0,7.72336756,1.41356297,training
1.0,7.72037014,1.42375413,training
