Model_name,Batch_size,total_execution_time,Peak_cpu_percent,Peak_memory_percent,peak_proc_cpu,peak_proc_mem
Namibia_North_2020,2,1.0035929679870605,44.1,54.2,20.0,0
Namibia_North_2020,4,1.003631591796875,44.3,54.2,18.0,0
Namibia_North_2020,8,1.0036101341247559,43.7,54.4,37.9,0
Namibia_North_2020,16,1.0037992000579834,43.3,54.4,41.9,0
Namibia_North_2020,32,1.0043957233428955,43.3,54.5,29.9,0
Namibia_North_2020,64,1.0041298866271973,43.1,54.4,55.9,0
Namibia_North_2020,128,1.003683090209961,43.9,54.4,53.9,0
Namibia_North_2020,256,1.0042634010314941,44.0,54.3,69.8,0
Namibia_North_2020,512,1.0035147666931152,44.6,54.7,18.0,0
Namibia_North_2020,1024,1.004054069519043,44.8,54.7,8.0,0
Malawi_2020_September,2,1.0050156116485596,44.2,54.5,18.0,0
Malawi_2020_September,4,1.0036218166351318,43.5,54.5,12.0,0
Malawi_2020_September,8,1.0035414695739746,44.5,54.5,18.0,0
Malawi_2020_September,16,1.0040555000305176,43.6,54.5,23.9,0
Malawi_2020_September,32,1.0038433074951172,44.4,54.5,20.0,0
Malawi_2020_September,64,1.003108263015747,44.9,55.0,12.0,0
Malawi_2020_September,128,1.0043697357177734,45.1,55.3,12.0,0
Malawi_2020_September,256,1.0064277648925781,44.5,55.4,12.0,0
Malawi_2020_September,512,1.0042009353637695,44.9,55.4,12.0,0
Malawi_2020_September,1024,1.0039842128753662,45.0,55.4,10.0,0
